fundstelle;bezeichnung;nutzungsdauer_jahre;quelle
6.10;Heißluftgebläse, Kaltluftgebläse (mobil);11;BMF 15.12.2000
6.11;Raumheizgeräte (mobil);9;BMF 15.12.2000
6.12;Arbeitszelte;6;BMF 15.12.2000
6.13.1;Fernsprechnebenstellenanlagen;10;BMF 15.12.2000
6.13.2.1;Allgemein;8;BMF 15.12.2000
6.13.2.2;Mobilfunkendgeräte;5;BMF 15.12.2000
6.13.3;Textendeinrichtungen (Faxgeräte u.ä.);6;BMF 15.12.2000
6.13.4;Betriebsfunkanlagen;11;BMF 15.12.2000
6.13.5;Antennenmasten;10;BMF 15.12.2000
6.14.1;Adressiermaschinen, Kuvertiermaschinen, Frankiermaschinen;8;BMF 15.12.2000
6.14.2;Paginiermaschinen;8;BMF 15.12.2000
6.14.3.1;Großrechner;7;BMF 15.12.2000
6.14.3.2;Workstations, Personalcomputer, Notebooks und deren Peripheriegeräte (Drucker, Scanner, Bildschirme u.ä.);1;BMF 22.02.2022
6.14.4;Foto-, Film-, Video- und Audiogeräte (Fernseher, CD-Player, Recorder, Lautsprecher, Radios, Verstärker, Kameras, Monitore u.ä.);7;BMF 15.12.2000
6.14.5;Beschallungsanlagen;9;BMF 15.12.2000
6.14.6;Präsentationsgeräte, Datensichtgeräte;8;BMF 15.12.2000
6.14.7;Registrierkassen;6;BMF 15.12.2000
6.14.8;Schreibmaschinen;9;BMF 15.12.2000
6.14.9.1;elektronisch;8;BMF 15.12.2000
6.14.9.2;mechanisch;14;BMF 15.12.2000
6.14.10;Vervielfältigungsgeräte;7;BMF 15.12.2000
6.14.11;Zeiterfassungsgeräte;8;BMF 15.12.2000
6.14.12;Geldprüfgeräte, Geldsortiergeräte, Geldwechselgeräte und Geldzählgeräte;7;BMF 15.12.2000
6.14.13;Reißwölfe (Aktenvernichter);8;BMF 15.12.2000
6.14.14;Kartenleser (EC-, Kredit-);8;BMF 15.12.2000
6.15;Büromöbel;13;BMF 15.12.2000
6.16;Verkaufstheken;10;BMF 15.12.2000
6.17;Verkaufsbuden, Verkaufsstände;8;BMF 15.12.2000
6.18;Bepflanzungen in Gebäuden;10;BMF 15.12.2000
6.19.1;Stahlschränke;14;BMF 15.12.2000
6.19.2;Panzerschränke, Tresore;23;BMF 15.12.2000
6.19.3;Tresoranlagen;25;BMF 15.12.2000
6.19.4.1;normale;8;BMF 15.12.2000
6.19.4.2;hochwertige (ab 1.000 DM/m2);15;BMF 15.12.2000
6.19.5;Kunstwerke (ohne Werke anerkannter Künstler);15;BMF 15.12.2000
6.19.6;Waagen (Obst-, Gemüse-, Fleisch- u.ä.);11;BMF 15.12.2000
6.19.7;Rohrpostanlagen;10;BMF 15.12.2000
7.1;Betonkleinmischer;6;BMF 15.12.2000
7.2.1;Bohnermaschinen;8;BMF 15.12.2000
7.2.2;Desinfektionsgeräte;10;BMF 15.12.2000
7.2.3;Geschirr- und Gläserspülmaschinen;7;BMF 15.12.2000
7.2.4;Hochdruckreiniger (Dampf- und Wasser-);8;BMF 15.12.2000
7.2.5;Industriestaubsauger;7;BMF 15.12.2000
7.2.6;Kehrmaschinen;9;BMF 15.12.2000
7.2.7;Räumgeräte;9;BMF 15.12.2000
7.2.8;Sterilisatoren;10;BMF 15.12.2000
7.2.9;Teppichreinigungsgeräte (transportabel);7;BMF 15.12.2000
7.2.10;Waschmaschinen;10;BMF 15.12.2000
7.2.11;Bautrocknungs- und Entfeuchtungsgeräte;5;BMF 15.12.2000
7.3;Wäschetrockner;8;BMF 15.12.2000
7.4.1;Getränkeautomaten, Leergutautomaten;7;BMF 15.12.2000
7.4.2;Warenautomaten;5;BMF 15.12.2000
7.4.3;Zigarettenautomaten;8;BMF 15.12.2000
7.4.4;Passbildautomaten;5;BMF 15.12.2000
7.4.5;Visitenkartenautomaten;5;BMF 15.12.2000
7.5.1;Geldspielgeräte (Spielgeräte mit Gewinnmöglichkeit);4;BMF 15.12.2000
7.5.2;Musikautomaten;8;BMF 15.12.2000
7.5.3;Videoautomaten;6;BMF 15.12.2000
7.5.4;sonstige Unterhaltungsautomaten (z.B. Flipper);5;BMF 15.12.2000
7.6;Fahnenmasten;10;BMF 15.12.2000
7.7;Kühlschränke;10;BMF 15.12.2000
7.8;Laborgeräte (Mikroskope, Präzisionswaagen u.ä.);13;BMF 15.12.2000
7.9;Mikrowellengeräte;8;BMF 15.12.2000
7.10;Rasenmäher;9;BMF 15.12.2000
7.11;Toilettenkabinen und Toilettenwagen;9;BMF 15.12.2000
7.12;Zentrifugen;10;BMF 15.12.2000
